pays;iso3;pop_million_2023;%pop_moins15_2023;%Pop_60plus_2022;indice_fertilite_2023;esperance_vie_homme_2023;esperance_vie_femme_2023;Densite_2022;GDP_millionUSD_2020;part_agriculteurs_ %_2020;pop_urbaine_ %_2022;RNB_percapita_usd_2021;%scolarisation_primaire_2017;%alphabetisation_20192021;Idh_2021;age_scolarisation_attendue_2021;age_moyen_scolarisation_2021
Tuvalu;TUV;0;32;11,1;3,1;61;70;377,1;55;;65,527;6850;;;0,641;9,40443;10,57310772
Uganda;UGA;48,6;44;2,9;4,4;62;66;236,5;38,702;63,47708;26,159;2440;;79;0,525;10,14986994;5,730941566
Ukraine;UKR;36,7;15;26,5;1,3;68;78;68,5;155,582;15,06021;69,919;13950;;;0,773;14,95656854;11,13142043
United Arab Emirates;ARE;9,5;15;3,5;1,4;79;83;132,9;358,869;1,783298;87,543;76810;95,02753;98,1263580322266;0,911;15,71769047;12,69402981
United Kingdom;GBR;67,7;17;25,2;1,6;81;84;278,1;2764,198;1,040481;84,398;49980;99,49182;;0,929;17,30971909;13,4061203
Tanzania (United Republic of);TZA;67,4;43;4,7;4,6;65;70;73,9;64,74;64,8265;36,682;2800;83,58042;81,8000030517578;0,549;9,221489906;6,37289871
United States;USA;340;18;23,4;1,7;77;82;37;20893,746;1,746393;83,084;71130;94,62633;;0,921;16,28097916;13,68342972
Virgin Islands (U.S.);VIR;0,1;19;27,7;2,1;71;82;284,2;#N/D;1,811047;96,136;;;;#N/D;#N/D;#N/D
Uruguay;URY;3,4;19;20,8;1,5;74;82;19,8;53,629;8,308325;95,688;23110;99,3775;98,7703475952148;0,809;16,83259964;8,982549667
Uzbekistan;UZB;35,2;30;8,6;2,8;69;74;81,4;57,707;24,45806;50,466;8650;96,26941;99,9999465942383;0,727;12,47714043;11,89558983
Vanuatu;VUT;0,3;39;5,8;3,7;68;73;26,8;855;48,77853;25,816;3530;;89,0999984741211;0,607;11,53531503;7,064846
Venezuela (Bolivarian Republic of);VEN;28,8;27;12,9;2,2;69;77;30,9;106,359;12,99543;88,378;;87,39174;97,5;0,691;12,81608;11,10727736
Viet Nam;VNM;98,9;22;13,8;1,9;70;79;313,3;271,158;32,61239;38,766;11130;;95,7538681030273;0,703;12,9519325;8,370280266
Western Sahara;#N/D;0,6;24;9,4;2,2;70;73;2,2;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D;#N/D
Yemen;YEM;34,4;39;4,1;3,6;61;68;63,8;27,958;28,81619;39,188;;;;0,455;9,09871006;3,2
Zambia;ZMB;20,6;42;3;4,2;60;66;26,9;18,111;59,11173;45,761;3260;83,16745;87,5;0,565;10,92876021;7,187091494
Zimbabwe;ZWE;16,7;40;4,8;3,4;59;64;42,2;21,787;62,22398;32,395;2280;;89,6999969482422;0,593;12,11096904;8,710908501
