PAYS;Superf;Pop;tx_natalite;tx_mortalite;pop2050;tx_mort_infantile;indice_fecond;moins15;plus65;espvie_homme;espvie_femme;RNB_hab
Slovaquie;49;5,6;10;13;5,2;5;1,6;16;17;72;79;32443
Slovénie;20;2,1;9;10;2;1;1,6;15;21;80;85;42813
Somalie;627;17,6;43;11;37;66;6,2;47;3;54;58;1242
Soudan;1765;46,9;33;7;85;37;4,4;41;3;63;68;3935
SoudanduSud;564;10,9;29;11;18;61;4,3;44;3;54;57;
SriLanka;63;21,8;14;7;22;5;2;23;12;73;80;14028
StKitts-et-Nevis;0,26;0,05;12;10;0,05;8;1,5;20;10;69;76;29128
StVincent-et-les-Grenadines;0,39;0,1;13;14;0,1;12;1,8;22;11;67;72;14873
Suède;407;10,5;11;9;12;2;1,7;18;20;82;85;60791
Suisse;40;8,7;10;8;9,8;3;1,5;15;19;82;86;75914
Surinam;156;0,62;18;9;0,73;16;2,3;26;7;67;74;13936
Syrie;184;22,1;21;5;38;16;2,7;31;5;69;76;
Tadjikistan;143;10;26;5;15;23;3,1;36;3;69;74;5181
Taïwan;35;23,9;8;7;22;3;1,1;13;17;78;85;
Tanzanie;886;65,5;36;6;130;32;4,7;43;3;65;69;2744
Tchad;1259;17,7;43;12;37;65;6,2;48;2;51;55;1513
Tchèque(République);77;10,5;10;12;11;2;1,7;16;21;75;81;43339
Thaïlande;511;71,7;9;7;68;7;1,3;16;15;75;84;18106
Timor-Est;15;1,3;25;7;1,8;31;3;35;5;67;71;5456
Togo;54;8,8;31;8;16;44;4,2;40;3;61;62;2341
Tonga;0,65;0,11;23;7;0,13;9;3,2;34;6;69;74;
Trinité-et-Tobago;5,1;1,5;11;8;1,5;15;1,6;19;12;71;78;23610
Tunisie;155;12,4;16;8;14;14;2,1;25;9;71;77;10969
Turkménistan;470;6,4;21;7;8,3;33;2,6;31;5;66;73;
Turquie;770;85,3;14;5;96;8;1,9;23;9;75;81;30117
Ukraine;579;39,7;8;21;33;7;1,3;15;19;64;74;13175
Uruguay;173;3,4;10;10;3,3;6;1,5;19;16;74;82;22931
Vanuatu;12;0,33;29;5;0,58;19;3,7;39;4;68;73;3170
Venezuela;916;28,3;16;8;36;15;2,2;28;9;67;76;
ViêtNam;313;98,2;15;7;107;15;1,9;22;9;70;79;11124
Yémen;528;33,7;30;7;55;47;3,7;39;3;60;67;
Zambie;743;20;34;7;38;38;4,2;43;2;59;65;3202
Zimbabwe;387;16,3;30;9;26;37;3,4;41;3;56;62;3533
